
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+YuMincho-Regular) [ToUnicode ID: 272]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <2FAE> -> Uni: <2FAF> (⾯) 💡 (相当する統合漢字: 面 <9762>)
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <052D> -> Uni: <2EE9> (⻩) 💡 (相当する統合漢字: 黄 <9EC4>)
     CID: <0650> -> Uni: <2EE4> (⻤) 💡 (相当する統合漢字: 鬼 <9B3C>)
     CID: <0651> -> Uni: <2EF2> (⻲) 💡 (相当する統合漢字: 亀 <4E80>)
     CID: <078D> -> Uni: <2EC1> (⻁) 💡 (相当する統合漢字: 虎 <864E>)
     CID: <08C5> -> Uni: <2EED> (⻭) 💡 (相当する統合漢字: 歯 <6B6F>)
     CID: <0A64> -> Uni: <2EC4> (⻄) 💡 (相当する統合漢字: 西 <897F>)
     CID: <0A6A> -> Uni: <2ED8> (⻘) 💡 (相当する統合漢字: 青 <9752>)
     CID: <0A6C> -> Uni: <2EEB> (⻫) 💡 (相当する統合漢字: 斉 <6589>)
     CID: <0BD7> -> Uni: <2ED1> (⻑) 💡 (相当する統合漢字: 長 <9577>)
     CID: <0D36> -> Uni: <2EE8> (⻨) 💡 (相当する統合漢字: 麦 <9EA6>)
     CID: <0E3E> -> Uni: <2E9F> (⺟) 💡 (相当する統合漢字: 母 <6BCD>)
     CID: <0EB4> -> Uni: <2E92> (⺒) 💡 (相当する統合漢字: 巳 <5DF3>)
     CID: <0EBF> -> Uni: <2EA0> (⺠) 💡 (相当する統合漢字: 民 <6C11>)
     CID: <0F7F> -> Uni: <2EEF> (⻯) 💡 (相当する統合漢字: 竜 <7ADC>)
     CID: <1073> -> Uni: <2E8E> (⺎) 💡 (相当する統合漢字: 兀 <5140>)
     CID: <1228> -> Uni: <2E90> (⺐) 💡 (相当する統合漢字: 尢 <5C22>)
     CID: <1285> -> Uni: <2E93> (⺓) 💡 (相当する統合漢字: 幺 <5E7A>)
     CID: <12AD> -> Uni: <2E94> (⺔) 💡 (相当する統合漢字: 彑 <5F51>)
     CID: <13C5> -> Uni: <2E99> (⺙) 💡 (相当する統合漢字: 攵 <6535>)
     CID: <13E3> -> Uni: <2E9B> (⺛) 💡 (相当する統合漢字: 旡 <65E1>)
     CID: <3550> -> Uni: <2EBD> (⺽) 💡 (相当する統合漢字: 𦥑 <26951>)
     CID: <361A> -> Uni: <2EDF> (⻟) 💡 (相当する統合漢字: 飠 <98E0>)
     CID: <361B> -> Uni: <2EDE> (⻞) 💡 (相当する統合漢字: 𩙿 <2967F>)
     CID: <361E> -> Uni: <2E97> (⺗) 💡 (相当する統合漢字: 心 <5FC3>)
     CID: <3622> -> Uni: <2E85> (⺅) 💡 (相当する統合漢字: 亻 <4EBB>)
     CID: <3630> -> Uni: <2EC3> (⻃) 💡 (相当する統合漢字: 覀 <8980>)
     CID: <364C> -> Uni: <2ECA> (⻊) 💡 (相当する統合漢字: 𧾷 <27FB7>)
     CID: <36AD> -> Uni: <2EAA> (⺪) 💡 (相当する統合漢字: 𤴔 <24D14>)
     CID: <3715> -> Uni: <2EB9> (⺹) 💡 (相当する統合漢字: 耂 <8002>)
     CID: <371B> -> Uni: <2E87> (⺇) 💡 (相当する統合漢字: 𠘨 <20628>)
     CID: <374F> -> Uni: <2EA6> (⺦) 💡 (相当する統合漢字: 丬 <4E2C>)
     CID: <37E3> -> Uni: <2E83> (⺃) 💡 (相当する統合漢字: 乚 <4E5A>)
     CID: <3816> -> Uni: <2E89> (⺉) 💡 (相当する統合漢字: 刂 <5202>)
     CID: <388E> -> Uni: <2E8F> (⺏) 💡 (相当する統合漢字: 尣 <5C23>)
     CID: <38C4> -> Uni: <2E96> (⺖) 💡 (相当する統合漢字: 忄 <5FC4>)
     CID: <38E3> -> Uni: <2E98> (⺘) 💡 (相当する統合漢字: 扌 <624C>)
     CID: <3963> -> Uni: <2EA1> (⺡) 💡 (相当する統合漢字: 氵 <6C35>)
     CID: <399F> -> Uni: <2EA3> (⺣) 💡 (相当する統合漢字: 灬 <706C>)
     CID: <39BE> -> Uni: <2EA8> (⺨) 💡 (相当する統合漢字: 犭 <72AD>)
     CID: <3A3B> -> Uni: <2EAD> (⺭) 💡 (相当する統合漢字: 礻 <793B>)
     CID: <3A99> -> Uni: <2EAB> (⺫) 💡 (相当する統合漢字: 目 <76EE>)
     CID: <3B0C> -> Uni: <2EC2> (⻂) 💡 (相当する統合漢字: 衤 <8864>)
     CID: <3B52> -> Uni: <2ECD> (⻍)
     CID: <3B99> -> Uni: <2ED2> (⻒) 💡 (相当する統合漢字: 镸 <9578>)
     CID: <3BA0> -> Uni: <2ECF> (⻏) 💡 (相当する統合漢字: 邑 <9091>)
     CID: <3C28> -> Uni: <2EA4> (⺤)
     CID: <3C2D> -> Uni: <2ECC> (⻌)
     CID: <45E7> -> Uni: <2E9E> (⺞) 💡 (相当する統合漢字: 歺 <6B7A>)
