
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
✨ 清潔フォント [ID: 5] (名前: BAAAAA+Meiryo) ── 汚染なし
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+SourceHanSerif-Medium) [ToUnicode ID: 270]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <4420> -> Uni: <2F35> (⼵) 💡 (相当する統合漢字: 廴 <5EF4>)
     CID: <4435> -> Uni: <2F36> (⼶) 💡 (相当する統合漢字: 廾 <5EFE>)
     CID: <444C> -> Uni: <2F37> (⼷) 💡 (相当する統合漢字: 弋 <5F0B>)
     CID: <4457> -> Uni: <2F38> (⼸) 💡 (相当する統合漢字: 弓 <5F13>)
     CID: <44F9> -> Uni: <2F3A> (⼺) 💡 (相当する統合漢字: 彡 <5F61>)
     CID: <4518> -> Uni: <2F3B> (⼻) 💡 (相当する統合漢字: 彳 <5F73>)
     CID: <45A5> -> Uni: <2F3C> (⼼) 💡 (相当する統合漢字: 心 <5FC3>)
     CID: <49E3> -> Uni: <2F3D> (⼽) 💡 (相当する統合漢字: 戈 <6208>)
     CID: <4A2F> -> Uni: <2F3E> (⼾) 💡 (相当する統合漢字: 戶 <6236>)
     CID: <4A58> -> Uni: <2F3F> (⼿) 💡 (相当する統合漢字: 手 <624B>)
     CID: <4F7B> -> Uni: <2F40> (⽀) 💡 (相当する統合漢字: 支 <652F>)
     CID: <4F82> -> Uni: <2F41> (⽁) 💡 (相当する統合漢字: 攴 <6534>)
     CID: <5000> -> Uni: <2F42> (⽂) 💡 (相当する統合漢字: 文 <6587>)
     CID: <5021> -> Uni: <2F43> (⽃) 💡 (相当する統合漢字: 斗 <6597>)
     CID: <5037> -> Uni: <2F44> (⽄) 💡 (相当する統合漢字: 斤 <65A4>)
     CID: <5059> -> Uni: <2F45> (⽅) 💡 (相当する統合漢字: 方 <65B9>)
     CID: <50B0> -> Uni: <2F46> (⽆) 💡 (相当する統合漢字: 无 <65E0>)
     CID: <50BD> -> Uni: <2F47> (⽇) 💡 (相当する統合漢字: 日 <65E5>)
     CID: <526E> -> Uni: <2F48> (⽈) 💡 (相当する統合漢字: 曰 <66F0>)
     CID: <5293> -> Uni: <2F49> (⽉) 💡 (相当する統合漢字: 月 <6708>)
     CID: <52CE> -> Uni: <2F4A> (⽊) 💡 (相当する統合漢字: 木 <6728>)
     CID: <59CA> -> Uni: <2F4B> (⽋) 💡 (相当する統合漢字: 欠 <6B20>)
     CID: <5A5D> -> Uni: <2F4C> (⽌) 💡 (相当する統合漢字: 止 <6B62>)
     CID: <5A81> -> Uni: <2F4D> (⽍) 💡 (相当する統合漢字: 歹 <6B79>)
     CID: <5AD4> -> Uni: <2F4E> (⽎) 💡 (相当する統合漢字: 殳 <6BB3>)
     CID: <5B09> -> Uni: <2F4F> (⽏) 💡 (相当する統合漢字: 毋 <6BCB>)
     CID: <5B1F> -> Uni: <2F50> (⽐) 💡 (相当する統合漢字: 比 <6BD4>)
     CID: <5B30> -> Uni: <2F51> (⽑) 💡 (相当する統合漢字: 毛 <6BDB>)
     CID: <5B8B> -> Uni: <2F52> (⽒) 💡 (相当する統合漢字: 氏 <6C0F>)
     CID: <5B98> -> Uni: <2F53> (⽓) 💡 (相当する統合漢字: 气 <6C14>)
     CID: <5BCA> -> Uni: <2F54> (⽔) 💡 (相当する統合漢字: 水 <6C34>)
     CID: <6328> -> Uni: <2F55> (⽕) 💡 (相当する統合漢字: 火 <706B>)
     CID: <66B7> -> Uni: <2F56> (⽖) 💡 (相当する統合漢字: 爪 <722A>)
     CID: <66CB> -> Uni: <2F57> (⽗) 💡 (相当する統合漢字: 父 <7236>)
     CID: <66D3> -> Uni: <2F58> (⽘) 💡 (相当する統合漢字: 爻 <723B>)
     CID: <66D8> -> Uni: <2F59> (⽙) 💡 (相当する統合漢字: 爿 <723F>)
     CID: <66E9> -> Uni: <2F5A> (⽚) 💡 (相当する統合漢字: 片 <7247>)
     CID: <6711> -> Uni: <2F5B> (⽛) 💡 (相当する統合漢字: 牙 <7259>)
     CID: <6719> -> Uni: <2F5C> (⽜) 💡 (相当する統合漢字: 牛 <725B>)
     CID: <67A4> -> Uni: <2F5D> (⽝) 💡 (相当する統合漢字: 犬 <72AC>)
     CID: <6913> -> Uni: <2F5E> (⽞) 💡 (相当する統合漢字: 玄 <7384>)
     CID: <691D> -> Uni: <2F5F> (⽟) 💡 (相当する統合漢字: 玉 <7389>)
     CID: <6B68> -> Uni: <2F60> (⽠) 💡 (相当する統合漢字: 瓜 <74DC>)
     CID: <6B86> -> Uni: <2F61> (⽡) 💡 (相当する統合漢字: 瓦 <74E6>)
     CID: <6C08> -> Uni: <2F62> (⽢) 💡 (相当する統合漢字: 甘 <7518>)
     CID: <6C14> -> Uni: <2F63> (⽣) 💡 (相当する統合漢字: 生 <751F>)
     CID: <6C20> -> Uni: <2F64> (⽤) 💡 (相当する統合漢字: 用 <7528>)
     CID: <6C2D> -> Uni: <2F65> (⽥) 💡 (相当する統合漢字: 田 <7530>)
     CID: <6CB4> -> Uni: <2F66> (⽦) 💡 (相当する統合漢字: 疋 <758B>)
     CID: <6CBE> -> Uni: <2F67> (⽧) 💡 (相当する統合漢字: 疒 <7592>)
     CID: <6EA4> -> Uni: <2F68> (⽨) 💡 (相当する統合漢字: 癶 <7676>)
     CID: <6EAE> -> Uni: <2F69> (⽩) 💡 (相当する統合漢字: 白 <767D>)
     CID: <6EFD> -> Uni: <2F6A> (⽪) 💡 (相当する統合漢字: 皮 <76AE>)
     CID: <6F16> -> Uni: <2F6B> (⽫) 💡 (相当する統合漢字: 皿 <76BF>)
     CID: <6F68> -> Uni: <2F6C> (⽬) 💡 (相当する統合漢字: 目 <76EE>)
     CID: <70FE> -> Uni: <2F6D> (⽭) 💡 (相当する統合漢字: 矛 <77DB>)
     CID: <710C> -> Uni: <2F6E> (⽮) 💡 (相当する統合漢字: 矢 <77E2>)
     CID: <712A> -> Uni: <2F6F> (⽯) 💡 (相当する統合漢字: 石 <77F3>)
     CID: <734F> -> Uni: <2F70> (⽰) 💡 (相当する統合漢字: 示 <793A>)
     CID: <7458> -> Uni: <2F71> (⽱) 💡 (相当する統合漢字: 禸 <79B8>)
     CID: <7467> -> Uni: <2F72> (⽲) 💡 (相当する統合漢字: 禾 <79BE>)
     CID: <75AE> -> Uni: <2F73> (⽳) 💡 (相当する統合漢字: 穴 <7A74>)
     CID: <7691> -> Uni: <2F74> (⽴) 💡 (相当する統合漢字: 立 <7ACB>)
     CID: <76EF> -> Uni: <2F75> (⽵) 💡 (相当する統合漢字: 竹 <7AF9>)
     CID: <7A0C> -> Uni: <2F76> (⽶) 💡 (相当する統合漢字: 米 <7C73>)
     CID: <7B1B> -> Uni: <2F77> (⽷) 💡 (相当する統合漢字: 糸 <7CF8>)
     CID: <7F72> -> Uni: <2F78> (⽸) 💡 (相当する統合漢字: 缶 <7F36>)
     CID: <7FB0> -> Uni: <2F79> (⽹) 💡 (相当する統合漢字: 网 <7F51>)
     CID: <8011> -> Uni: <2F7A> (⽺) 💡 (相当する統合漢字: 羊 <7F8A>)
     CID: <8079> -> Uni: <2F7B> (⽻) 💡 (相当する統合漢字: 羽 <7FBD>)
     CID: <811A> -> Uni: <2F7C> (⽼) 💡 (相当する統合漢字: 老 <8001>)
     CID: <812E> -> Uni: <2F7D> (⽽) 💡 (相当する統合漢字: 而 <800C>)
     CID: <813C> -> Uni: <2F7E> (⽾) 💡 (相当する統合漢字: 耒 <8012>)
     CID: <8180> -> Uni: <2F7F> (⽿) 💡 (相当する統合漢字: 耳 <8033>)
     CID: <8228> -> Uni: <2F80> (⾀) 💡 (相当する統合漢字: 聿 <807F>)
     CID: <8238> -> Uni: <2F81> (⾁) 💡 (相当する統合漢字: 肉 <8089>)
     CID: <8518> -> Uni: <2F82> (⾂) 💡 (相当する統合漢字: 臣 <81E3>)
     CID: <8526> -> Uni: <2F83> (⾃) 💡 (相当する統合漢字: 自 <81EA>)
     CID: <8537> -> Uni: <2F84> (⾄) 💡 (相当する統合漢字: 至 <81F3>)
     CID: <854B> -> Uni: <2F85> (⾅) 💡 (相当する統合漢字: 臼 <81FC>)
     CID: <8568> -> Uni: <2F86> (⾆) 💡 (相当する統合漢字: 舌 <820C>)
     CID: <8581> -> Uni: <2F87> (⾇) 💡 (相当する統合漢字: 舛 <821B>)
     CID: <858E> -> Uni: <2F88> (⾈) 💡 (相当する統合漢字: 舟 <821F>)
     CID: <8656> -> Uni: <2F89> (⾉) 💡 (相当する統合漢字: 艮 <826E>)
     CID: <865D> -> Uni: <2F8A> (⾊) 💡 (相当する統合漢字: 色 <8272>)
     CID: <8666> -> Uni: <2F8B> (⾋) 💡 (相当する統合漢字: 艸 <8278>)
     CID: <8EE3> -> Uni: <2F8C> (⾌) 💡 (相当する統合漢字: 虍 <864D>)
     CID: <8F2E> -> Uni: <2F8D> (⾍) 💡 (相当する統合漢字: 虫 <866B>)
     CID: <9269> -> Uni: <2F8E> (⾎) 💡 (相当する統合漢字: 血 <8840>)
     CID: <927F> -> Uni: <2F8F> (⾏) 💡 (相当する統合漢字: 行 <884C>)
     CID: <92A0> -> Uni: <2F90> (⾐) 💡 (相当する統合漢字: 衣 <8863>)
     CID: <951C> -> Uni: <2F91> (⾑) 💡 (相当する統合漢字: 襾 <897E>)
     CID: <9536> -> Uni: <2F92> (⾒) 💡 (相当する統合漢字: 見 <898B>)
     CID: <95A3> -> Uni: <2F93> (⾓) 💡 (相当する統合漢字: 角 <89D2>)
     CID: <960B> -> Uni: <2F94> (⾔) 💡 (相当する統合漢字: 言 <8A00>)
     CID: <9A5F> -> Uni: <2F95> (⾕) 💡 (相当する統合漢字: 谷 <8C37>)
     CID: <9A80> -> Uni: <2F96> (⾖) 💡 (相当する統合漢字: 豆 <8C46>)
     CID: <9A97> -> Uni: <2F97> (⾗) 💡 (相当する統合漢字: 豕 <8C55>)
     CID: <9AD7> -> Uni: <2F98> (⾘) 💡 (相当する統合漢字: 豸 <8C78>)
     CID: <9B14> -> Uni: <2F99> (⾙) 💡 (相当する統合漢字: 貝 <8C9D>)
     CID: <9C31> -> Uni: <2F9A> (⾚) 💡 (相当する統合漢字: 赤 <8D64>)
     CID: <9C41> -> Uni: <2F9B> (⾛) 💡 (相当する統合漢字: 走 <8D70>)
     CID: <9CC9> -> Uni: <2F9C> (⾜) 💡 (相当する統合漢字: 足 <8DB3>)
     CID: <9E83> -> Uni: <2F9D> (⾝) 💡 (相当する統合漢字: 身 <8EAB>)
     CID: <9EC6> -> Uni: <2F9E> (⾞) 💡 (相当する統合漢字: 車 <8ECA>)
     CID: <A00A> -> Uni: <2F9F> (⾟) 💡 (相当する統合漢字: 辛 <8F9B>)
     CID: <A032> -> Uni: <2FA0> (⾠) 💡 (相当する統合漢字: 辰 <8FB0>)
     CID: <A040> -> Uni: <2FA1> (⾡) 💡 (相当する統合漢字: 辵 <8FB5>)
     CID: <A27E> -> Uni: <2FA2> (⾢) 💡 (相当する統合漢字: 邑 <9091>)
     CID: <A3CB> -> Uni: <2FA3> (⾣) 💡 (相当する統合漢字: 酉 <9149>)
     CID: <A4DF> -> Uni: <2FA4> (⾤) 💡 (相当する統合漢字: 釆 <91C6>)
     CID: <A4E7> -> Uni: <2FA5> (⾥) 💡 (相当する統合漢字: 里 <91CC>)
     CID: <A4ED> -> Uni: <2FA6> (⾦) 💡 (相当する統合漢字: 金 <91D1>)
     CID: <AA8E> -> Uni: <2FA8> (⾨) 💡 (相当する統合漢字: 門 <9580>)
     CID: <AB72> -> Uni: <2FA9> (⾩) 💡 (相当する統合漢字: 阜 <961C>)
     CID: <AC6F> -> Uni: <2FAA> (⾪) 💡 (相当する統合漢字: 隶 <96B6>)
     CID: <AC74> -> Uni: <2FAB> (⾫) 💡 (相当する統合漢字: 隹 <96B9>)
     CID: <ACDD> -> Uni: <2FAC> (⾬) 💡 (相当する統合漢字: 雨 <96E8>)
     CID: <AE0A> -> Uni: <2FAE> (⾮) 💡 (相当する統合漢字: 非 <975E>)
     CID: <AE16> -> Uni: <2FAF> (⾯) 💡 (相当する統合漢字: 面 <9762>)
     CID: <AE1E> -> Uni: <2FB0> (⾰) 💡 (相当する統合漢字: 革 <9769>)
     CID: <AEC6> -> Uni: <2FB1> (⾱) 💡 (相当する統合漢字: 韋 <97CB>)
     CID: <AF16> -> Uni: <2FB2> (⾲) 💡 (相当する統合漢字: 韭 <97ED>)
     CID: <AF1E> -> Uni: <2FB3> (⾳) 💡 (相当する統合漢字: 音 <97F3>)
     CID: <AF3D> -> Uni: <2FB4> (⾴) 💡 (相当する統合漢字: 頁 <9801>)
     CID: <B038> -> Uni: <2FB5> (⾵) 💡 (相当する統合漢字: 風 <98A8>)
